orientation,accelerationIncludingGravity-x,accelerationIncludingGravity-y,accelerationIncludingGravity-z,accelerationIncludingGravity-timestamp,retationRate-gamma,retationRate-beta,retationRate-alpha,retationRate-timestamp,interval,acceleration-x,acceleration-y,acceleration-z,acceleration-timestamp,rotation-alpha,rotation-beta,rotation-gamma,rotation-timestamp,timestamp,label,id
0,-0.22580314635677495,-0.20844518203735352,-10.516680429840088,3318.22946675,1.8880738880216792,6.202892643807733,-0.18307631047174244,3318.22946675,0.01,-0.254220515990816,0.07548468191009014,-0.7141828733444213,3318.22946675,1.8168934299682178,0.028956835490533656,0.0028989847370423723,3318.22946675,1738339921186,Hello,1
0,-0.005985506433679256,-0.2859574607849121,-9.980079982757568,3318.2395177500002,-0.34604160918005833,-1.502612482377127,-0.015824887966365022,3318.2395177500002,0.01,-0.03946737008278724,-0.00035359921064227816,-0.17764672366976736,3318.2395177500002,1.8168725137597328,0.029127606761573163,0.003415655306984479,3318.2395177500002,1738339921186,Hello,1
0,0.2308908134681638,-0.3480570663452148,-9.31509047164917,3318.24956875,-0.9485502049483371,-3.4978517183111886,0.08155670087775706,3318.24956875,0.01,0.2034139646708034,-0.06421588532822206,0.4874123455435037,3318.24956875,1.8168920443634102,0.02894778792936766,0.0028030368601476238,3318.24956875,1738339921196,Hello,1
0,-0.06913257293701172,-0.29179332733154295,-10.060136100769043,3318.2596187500003,0.9396909159863016,3.0975855574755164,-0.12015047133950255,3318.2596187500003,0.01,-0.09651358754392712,-0.007939780023321508,-0.2576332835763693,3318.2596187500003,1.8168854003780046,0.028949050228772595,0.002793260436175934,3318.2596187500003,1738339921205,Hello,1
0,-0.07481880187988281,-0.2973299186706543,-10.021828874206543,3318.26966975,0.14496736337914887,0.6574609360964692,-0.03142061107988421,3318.26966975,0.01,-0.10643274134881794,-0.0121455246174708,-0.2193774949401617,3318.26966975,1.8168735645920118,0.029084815426005335,0.003225094300812781,3318.26966975,1738339921216,Hello,1
0,0.17268179017219226,-0.33309328770292923,-9.504980006298423,3318.2797197500004,-0.8228516723316537,-2.555540677726247,0.010231203159962586,3318.2797197500004,0.01,0.14364598952899685,-0.04878467183727771,0.2975046907156706,3318.2797197500004,1.816879557046511,0.028995472666140377,0.0029620770449862075,3318.2797197500004,1738339921226,Hello,1
0,0.02693476867675781,-0.2916436897277832,-9.9085532081604,3318.28977075,0.40458062591572536,1.3012861465669483,-0.04900341898388127,3318.28977075,0.01,-0.0007555105254403315,-0.007779767156019806,-0.10605156001150608,3318.28977075,1.816883011469786,0.028950109046385043,0.0028248101141014636,3318.28977075,1738339921236,Hello,1
0,-0.03591302718563238,-0.2472013214111328,-10.083629204559326,3318.29982075,0.29758910098163416,1.019303280786853,-0.027402212021988694,3318.29982075,0.01,-0.0663743785363622,0.03750878792749718,-0.2811602896362543,3318.29982075,1.8168831080644214,0.02903643201735569,0.003107508280743767,3318.29982075,1738339921246,Hello,1
0,0.10220248336791991,-0.2885013000488281,-9.62753378829956,3318.30987175,-0.4879943911957854,-1.6358633899468462,0.08189648944875197,3318.30987175,0.01,0.0725696027475642,-0.004120166936237365,0.17494740158319472,3318.30987175,1.8168859223454432,0.029002870851931657,0.0030229887343619583,3318.30987175,1738339921256,Hello,1
0,0.05416881027774652,-0.2828150345733389,-9.773280229839681,3318.31992175,0.14395872319759515,0.3861370074030017,-0.04696715549735799,3318.31992175,0.01,0.025925007112324237,0.0012308387028984724,0.02921440404653549,3318.31992175,1.8168940897294965,0.028968670637553973,0.0028812791925808138,3318.31992175,1738339921266,Hello,1
0,-0.026485858148767145,-0.25573064655913036,-10.021977927288413,3318.3299727500003,0.2670208561555065,0.7696666968120569,0.03115783889487715,3318.3299727500003,0.01,-0.056334977618977426,0.028834610948711634,-0.2195031671464443,3318.3299727500003,1.8168867346840558,0.029021654475450933,0.003045050101054997,3318.3299727500003,1738339921276,Hello,1
0,0.05327098008861066,-0.29284077229155225,-9.777769357952476,3318.34002275,-0.3170974819529393,-0.9019535872134523,-0.04387941640462299,3318.34002275,0.01,0.023678337863809427,-0.008289324113354087,0.02470657123327255,3318.34002275,1.8168876662449285,0.029020246555316546,0.003018885321469543,3318.34002275,1738339921286,Hello,1
0,0.06479308242797852,-0.30466216125488277,-9.745597857666015,3318.3500737500003,-0.008351146900170298,0.1552821763254846,-0.004267600911001815,3318.3500737500003,0.01,0.03605063870816957,-0.02043839239478111,0.05689034647941589,3318.3500737500003,1.8168941194032755,0.02898681782420406,0.00293214953727611,3318.3500737500003,1738339921296,Hello,1
0,0.008230061356921213,-0.28685526814116163,-9.924713484844565,3318.36012375,0.21176542618289673,0.64039880338466,-0.03443027657473348,3318.36012375,0.01,-0.021490342283260543,-0.0023994440908543762,-0.12223521757125853,3318.36012375,1.816892360809803,0.029010491455589114,0.0030319181442262032,3318.36012375,1738339921306,Hello,1
0,0.05042787018375238,-0.2814683326721191,-9.82565397567749,3318.3701747500004,-0.08594881266887276,-0.6430942201467291,0.002541770856276942,3318.3701747500004,0.01,0.020846126095589716,0.0029877653728239235,-0.0231751238822937,3318.3701747500004,1.8168954024961286,0.02901051864446199,0.003017772787553262,3318.3701747500004,1738339921316,Hello,1
0,0.06778582993659656,-0.2871545616149902,-9.790638776397705,3318.38022575,0.049410842435915175,0.0999329846642392,0.015204654762896294,3318.38022575,0.01,0.0387536460225936,-0.0028561200834810734,0.011846505138278007,3318.38022575,1.8169006859580514,0.02899443467925013,0.0029617079243311997,3318.38022575,1738339921326,Hello,1
